number,Act_speed
1,0
2,0
3,0
4,0
5,2500.076294
6,2500.190735
7,2500.476837
8,2499.904633
9,2499.961853
10,2500.591278
11,2500.019073
12,2500.190735
13,2500.190735
14,2500.076294
15,2500.133514
16,2500.076294
17,2500.419617
18,2500.076294
19,2499.961853
20,2499.961853
21,2500.362396
22,2500.076294
23,2500.305176
24,2500.247955
25,2499.961853
26,2499.847412
27,2500.019073
28,2500.419617
29,2499.675751
30,2500.247955
31,2500.419617
32,2500.019073
33,2500.190735
34,2499.790192
35,2500.247955
36,2499.847412
37,2499.961853
38,2500.076294
39,2500.190735
40,2499.847412
41,2500.190735
42,2500.190735
43,2500.190735
44,2500.534058
45,2499.904633
46,2500.190735
47,2500.019073
48,2499.847412
49,2500.247955
50,2519.130707
51,4999.694824
52,4999.694824
53,4999.752045
54,5000.38147
55,4999.866486
56,4999.694824
57,4999.923706
58,4999.523163
59,5000.095367
60,5000.495911
61,4999.694824
62,5000.495911
63,5000.095367
64,5000.495911
65,5000.38147
66,5000.667572
67,4999.923706
68,4999.694824
69,5000.095367
70,4999.866486
71,5000.553131
72,4999.923706
73,5000.38147
74,5000.324249
75,4999.752045
76,5000.495911
77,4999.980927
78,5000.152588
79,5000.267029
80,5000.324249
81,4999.866486
82,5000.209808
83,4999.923706
84,5000.038147
85,5000.209808
86,4999.809265
87,4999.752045
88,5000.209808
89,4999.866486
90,4999.694824
91,5000.324249
92,4999.980927
93,4999.637604
94,5000.38147
95,4999.980927
96,5000.095367
97,4999.866486
98,6498.012543
99,7499.256134
100,7499.141693
101,7499.256134
102,7499.256134
103,7499.427795
104,7501.029968
105,7500.915527
106,7499.656677
107,7499.713898
108,7501.144409
109,7500.858307
110,7499.313354
111,7500.972748
112,7500.858307
113,7499.256134
114,7499.542236
115,7499.198914
116,7499.198914
117,7498.912811
118,7501.029968
119,7500.915527
120,7501.20163
121,7499.599457
122,7499.485016
123,7499.427795
124,7501.087189
125,7501.316071
126,7501.144409
127,7501.029968
128,7501.087189
129,7499.542236
130,7499.599457
131,7499.828339
132,7499.313354
133,7501.087189
134,7501.144409
135,7501.20163
136,7501.20163
137,7501.144409
138,7499.656677
139,7499.599457
140,7500.972748
141,7499.656677
